algo,   n,      file,             rep,time_s,nps,       sorted,rss_kb
radix,500000,../../codes_500K.txt,1,0.107978,4630572.89,YES,34688
radix,500000,../../codes_500K.txt,2,0.047112,10613007.30,YES,34688
radix,500000,../../codes_500K.txt,3,0.035521,14076180.29,YES,34688
merge,500000,../../codes_500K.txt,1,0.259773,1924757.38,YES,34688
merge,500000,../../codes_500K.txt,2,0.224187,2230280.97,YES,34688
merge,500000,../../codes_500K.txt,3,0.233974,2136989.58,YES,34688
quick,500000,../../codes_500K.txt,1,0.221408,2258274.32,YES,19328
quick,500000,../../codes_500K.txt,2,0.220782,2264677.37,YES,19328
quick,500000,../../codes_500K.txt,3,0.219049,2282594.31,YES,19328
radix,1000000,../../codes_1M.txt,1,0.413872,2416205.98,YES,65920
radix,1000000,../../codes_1M.txt,2,0.082193,12166486.20,YES,65920
radix,1000000,../../codes_1M.txt,3,0.078474,12743074.14,YES,65920
merge,1000000,../../codes_1M.txt,1,0.466520,2143530.82,YES,65920
merge,1000000,../../codes_1M.txt,2,0.470775,2124156.98,YES,65920
merge,1000000,../../codes_1M.txt,3,0.469726,2128900.68,YES,65920
quick,1000000,../../codes_1M.txt,1,0.460910,2169620.97,YES,34944
quick,1000000,../../codes_1M.txt,2,0.459425,2176633.84,YES,34944
quick,1000000,../../codes_1M.txt,3,0.454634,2199571.52,YES,34944
radix,10000000,../../codes_10M.txt,1,6.456446,1548839.72,YES,627200
radix,10000000,../../codes_10M.txt,2,1.098321,9104806.34,YES,628352
radix,10000000,../../codes_10M.txt,3,0.931238,10738393.41,YES,628352
merge,10000000,../../codes_10M.txt,1,5.694846,1755973.73,YES,628352
merge,10000000,../../codes_10M.txt,2,5.495062,1819815.68,YES,628480
merge,10000000,../../codes_10M.txt,3,5.500673,1817959.37,YES,628480
quick,10000000,../../codes_10M.txt,1,5.001849,1999260.67,YES,316288
quick,10000000,../../codes_10M.txt,2,5.215582,1917331.57,YES,316288
quick,10000000,../../codes_10M.txt,3,4.932478,2027378.53,YES,316288
